Absorbance
0.49
0.555
0.524
0.525
0.529
0.528
0.526
0.51
0.523
0.57
0.527
0.52
0.521
0.5
0.49
0.501
0.5
0.527
0.525
0.53
0.533
0.51
0.52
0.524
0.49
0.526
0.533
0.39
0.523
0.555
0.524
0.67
0.535
0.565
0.537
0.47
0.529
0.529
0.505
0.502
0.522
0.527
0.527
0.526
0.522
0.523
0.615
0.63
0.57
0.527
0.527
0.52
0.522
0.521
0.517
0.519
0.581
0.58
0.586
0.55
0.577
0.587
0.582
0.555
0.57
0.517
0.545
0.525
0.527
0.528
0.528
0.532
0.527
0.518
0.529
0.539
0.529
0.523
0.527
0.533
0.528
0.533
0.519
0.535
0.528
0.528
0.518
0.528
0.515
0.53
0.52
0.532
0.528
0.5
0.555
0.528
